Name,Adversity Index,Socioeconomic_Score,Socioeconomic_Evidence,Environmental_Score,Environmental_Evidence,ResourceAccess_Score,ResourceAccess_Evidence,Instability_Score,Instability_Evidence,Physical_Score,Physical_Evidence,Physical_Evidence,Underrated_Score,Underrated_Evidence,Geographic_Score,Geographic_Evidence
James Bouknight,25,1,2,5,4,0,2,0,2,1,1,2,0,0,5,0
Greg Brown,37,5,3,3,3,0,2,3,0,4,4,2,2,1,1,4
Chaundee Brown,26,1,0,3,4,5,0,1,1,4,3,3,0,1,0,0
Jared Butler,43,3,5,1,4,5,4,1,0,5,1,4,3,1,3,3
Justin Champagnie,34,0,1,3,2,3,0,2,0,5,5,2,5,1,4,1
Josh Christopher,43,1,4,4,2,1,3,2,5,5,2,3,5,0,1,5
Matt Coleman III,43,5,3,2,3,1,2,3,5,4,1,0,4,4,5,1
Sharife Cooper,36,4,2,1,1,2,1,1,4,4,4,2,4,1,5,0
Cade Cunningham,35,2,2,1,2,4,0,0,4,2,3,4,5,2,0,4
Ayo Dosunmu,36,3,2,5,2,4,3,3,3,0,2,1,4,2,2,0
Chris Duarte,44,3,4,0,5,3,5,2,5,2,4,1,2,5,2,1
David Duke,24,2,5,0,0,2,0,1,5,3,0,0,0,2,2,2
Kessler Edwards,43,3,0,1,3,4,5,0,1,4,4,3,4,4,4,3
Biram Faye,42,5,1,4,1,0,0,4,5,3,4,2,1,3,4,5
Marcus Garrett,34,4,4,1,2,3,5,0,1,1,5,0,0,4,0,4
Usman Garuba,35,1,3,1,3,0,3,1,2,5,5,1,0,0,5,5
Luka Garza,34,3,0,2,2,3,3,0,0,2,4,2,4,4,2,3
Josh Giddey,49,5,5,4,4,0,4,2,1,1,3,4,4,3,5,4
RaiQuan Gray,35,3,3,2,0,3,3,1,3,2,2,1,5,2,5,0
Jalen Green,40,4,2,4,5,2,2,3,4,4,3,1,1,1,4,0
Alan Griffin,46,5,0,2,5,3,4,0,3,5,0,3,3,5,3,5
Quentin Grimes,34,2,0,4,1,0,3,2,2,3,3,4,4,0,1,5
Sam Hauser,27,1,0,2,4,3,0,3,1,3,2,2,2,3,1,0
Aaron Henry,40,2,1,2,2,2,3,4,5,1,5,4,1,0,3,5
Jay Huff,41,1,4,4,5,5,2,3,2,1,5,0,3,4,1,1
Matthew Hurt,29,3,4,0,4,0,5,4,0,1,5,2,1,0,0,0
Nah'Shon Hyland,40,5,4,2,0,2,0,5,3,1,3,5,4,1,0,5
Isaiah Jackson,38,2,0,4,5,2,4,4,5,3,0,1,2,0,4,2
Jalen Johnson,31,1,1,0,1,3,4,2,0,1,0,5,4,4,1,4
Keon Johnson,38,1,0,5,1,0,1,5,3,2,1,0,4,5,5,5
David Johnson,41,3,5,0,3,5,4,4,0,3,1,0,4,2,3,4
Rokas Jokubaitis,35,3,2,0,1,5,1,2,3,4,0,3,5,0,1,5
Herbert Jones,36,5,3,2,0,2,2,3,0,1,3,3,0,5,3,4
Kai Jones,28,3,0,2,1,0,0,1,5,5,2,4,0,5,0,0
Carlik Jones,26,3,0,1,0,4,3,3,1,3,1,1,4,1,1,0
Georgios Kalaitzakis,34,1,2,1,0,5,0,0,4,1,5,5,2,3,2,3
Corey Kispert,38,0,3,0,4,0,0,5,5,4,5,4,4,0,1,3
Balsa Koprivica,30,1,4,2,0,5,0,1,4,0,2,5,0,0,3,3
Jonathan Kuminga,26,0,3,1,2,0,0,4,4,1,0,0,4,4,1,2
A.J. Lawson,42,4,0,4,3,5,4,0,3,2,0,4,4,4,3,2
Scottie Lewis,45,4,3,4,1,4,3,2,2,3,0,0,4,5,5,5
Isaiah Livers,26,0,0,2,2,1,0,4,0,2,4,3,1,4,0,3
Sandro Mamukelashvili,42,3,4,3,5,1,1,4,4,4,2,3,0,3,0,5
Tre Mann,32,3,4,1,0,4,2,2,1,0,0,4,3,1,5,2
Miles McBride,34,1,2,0,1,2,4,0,0,0,3,4,3,5,4,5
Matthew Mitchell,45,2,4,0,5,4,4,4,4,0,4,3,5,4,0,2
Davion Mitchell,33,3,5,3,1,0,1,0,5,2,0,2,1,1,5,4
Evan Mobley,37,4,3,2,2,1,4,0,2,3,0,5,5,2,1,3
Moses Moody,45,1,4,2,3,4,4,4,2,0,3,2,4,5,5,2
Trey Murphy,34,3,0,1,3,1,3,4,4,4,0,5,0,2,0,4
RJ Nembhard,42,0,3,1,0,5,1,5,5,2,5,4,2,3,1,5
Daishen Nix,29,5,1,1,5,1,2,5,2,0,0,2,1,1,2,1
Filip Petrusev,38,5,3,3,0,2,2,0,1,5,0,2,3,4,3,5
John Petty,45,5,0,3,5,4,2,0,1,4,3,4,4,5,2,3
Yves Pons,35,2,0,2,0,3,2,0,1,4,3,2,3,4,4,5
Jason Preston,28,1,0,4,2,0,4,1,2,1,2,3,1,4,3,0
Joshua Primo,28,3,2,0,5,4,0,0,0,2,3,2,0,1,1,5
Neemias Queta,30,0,1,3,1,5,2,5,2,2,0,4,2,1,0,2
Austin Reaves,45,3,1,2,3,3,1,2,4,4,3,4,4,4,5,2
Jeremiah Robinson-Earl,26,1,1,0,0,0,1,5,3,5,1,0,2,1,2,4
Alperen Sengun,32,3,2,0,3,2,4,5,4,3,0,3,0,0,1,2
Day'Ron Sharpe,28,0,5,3,4,4,0,4,5,0,0,1,0,0,2,0
Jericho Sims,27,4,2,4,0,0,3,1,1,2,0,5,2,3,0,0
Jaden Springer,34,0,2,5,2,5,1,0,1,1,3,5,5,0,0,4
DJ Steward,45,4,5,4,1,5,2,0,1,4,1,4,5,4,3,2
Jalen Suggs,39,5,5,0,5,0,3,3,3,2,1,5,5,0,2,0
Amar Sylla,42,1,4,4,5,2,4,5,3,0,2,4,2,1,3,2
Cameron Thomas,35,2,4,0,2,4,0,3,0,0,5,1,4,0,5,5
JT Thor,44,1,3,5,5,4,4,4,1,1,2,5,2,2,1,4
Isaiah Todd,47,5,1,2,0,4,1,0,5,5,5,5,5,1,5,3
Franz Wagner,44,4,4,0,4,5,2,4,3,4,0,3,3,2,1,5
M.J. Walker,26,0,1,5,1,3,0,0,3,1,5,0,2,2,0,3
Trendon Watford,41,2,0,0,5,3,0,5,4,3,1,4,3,3,3,5
Romeo Weems,29,5,0,3,3,2,1,4,5,5,1,0,0,0,0,0
Joe Wieskamp,32,1,1,3,3,2,2,1,3,1,2,2,3,0,5,3
Aaron Wiggins,33,0,5,2,1,3,4,0,1,2,3,4,4,3,0,1
Ziaire Williams,38,4,1,2,1,4,4,3,0,1,0,5,0,4,4,5
Moses Wright,33,4,2,3,0,4,1,0,1,5,4,0,2,3,1,3
McKinley Wright IV,44,3,4,2,4,1,1,2,3,4,2,3,1,5,5,4
Marcus Zegarowski,32,1,5,1,1,4,2,0,1,5,0,5,4,1,2,0
